Beach_Name,count,mean,std,min,25%,50%,75%,max
63rd Street Beach,3420.0,603.3981111000829,108.36921988997047,364.86,520.24,598.4100000000001,670.1944297966963,983.6
Calumet Beach,7570.0,639.6271301615632,108.2045148933019,392.86,559.23,628.1500000000001,706.5407783798071,1003.62
Montrose Beach,7269.0,684.7798732394976,158.1153845257676,375.38512121819275,567.4200000000001,659.3851212181928,784.2588829132945,1197.8851212181928
Ohio Street Beach,9343.0,660.2800986931894,90.3932872659412,386.13486132014623,596.9100000000001,661.4200000000001,731.27,925.9148613201462
Osterman Beach,4023.0,648.7587417821085,134.4904203294611,358.9,542.25,627.62,732.5899999999999,1089.1399999999999
Rainbow Beach,3298.0,686.2279874676738,136.40850951642182,374.7503749848908,579.635,678.05,778.72,1128.48
