,Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Metrics,Is_Exception
47,Calumet Beach,2014-05-29T11:00:00,16.2,1.59,1.596,0.141,4.0,11.7,CalumetBeach201405291100,553.86,1
48,Montrose Beach,2014-05-29T11:00:00,14.3,6.4,1.458,0.286,5.0,11.8,MontroseBeach201405291100,755.5999999999999,1
49,Calumet Beach,2014-05-29T12:00:00,16.4,1.55,1.491,0.144,4.0,11.7,CalumetBeach201405291200,562.1999999999999,1
50,Montrose Beach,2014-05-29T12:00:00,14.6,6.19,1.432,0.301,3.0,11.8,MontroseBeach201405291200,777.26,1
51,Montrose Beach,2014-05-29T13:00:00,14.8,6.28,1.526,0.282,5.0,11.8,MontroseBeach201405291300,759.1199999999999,1
52,Calumet Beach,2014-05-29T13:00:00,16.6,1.58,1.499,0.154,2.0,11.7,CalumetBeach201405291300,575.3199999999999,1
53,Calumet Beach,2014-05-29T14:00:00,16.7,1.44,1.682,0.159,5.0,11.7,CalumetBeach201405291400,593.26,1
54,Montrose Beach,2014-05-29T14:00:00,14.9,6.36,1.391,0.319,3.0,11.8,MontroseBeach201405291400,810.94,1
55,Montrose Beach,2014-05-29T15:00:00,15.1,5.98,1.449,0.296,3.0,11.8,MontroseBeach201405291500,778.9200000000001,1
56,Calumet Beach,2014-05-29T15:00:00,16.9,1.4,1.488,0.164,4.0,11.7,CalumetBeach201405291500,601.6,1
57,Calumet Beach,2014-05-29T16:00:00,16.9,1.35,1.562,0.17,4.0,11.7,CalumetBeach201405291600,610.4,1
58,Montrose Beach,2014-05-29T16:00:00,15.2,6.26,1.448,0.313,3.0,11.8,MontroseBeach201405291600,807.54,1
59,Montrose Beach,2014-05-29T17:00:00,15.5,7.06,1.406,0.288,3.0,11.8,MontroseBeach201405291700,779.24,1
60,Calumet Beach,2014-05-29T17:00:00,16.8,1.45,1.546,0.168,3.0,11.7,CalumetBeach201405291700,602.8000000000001,1
61,Calumet Beach,2014-05-29T18:00:00,16.9,1.35,1.47,0.179,3.0,11.7,CalumetBeach201405291800,620.9,1
