,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Metrics,Is_Exception
count,34923.0,34923.0,34923.0,34923.0,34923.0,34923.0,34923.0,34923.0
mean,19.417019878884666,2.2319803610540294,1.594887960979252,0.16559207276377086,3.599706553614218,11.064175457129144,29.22997763877518,0.0
std,3.220753184691503,2.100587891667127,0.1391367516992449,0.06978991171766837,1.1333702028871337,0.6289362673397556,4.1441291825472675,0.0
min,9.1,0.01,1.359,0.013,1.0,9.3,15.677,0.0
25%,17.2,0.82,1.4493764097744362,0.113,3.0,10.6,26.284,0.0
50%,19.6,1.46,1.6387102425876012,0.1556940914866582,3.0,11.0,29.179000000000002,0.0
75%,22.0,3.13,1.735757363954069,0.197,4.0,11.5,31.879,0.0
max,29.6,14.18,1.755310825294748,0.47,8.0,13.0,45.34202424363855,0.0
