,Montrose Beach,Ohio Street Beach,Calumet Beach,63rd Street Beach,Osterman Beach,Rainbow Beach
count,2627.0,2627.0,2627.0,2627.0,2627.0,2627.0
mean,0.19046555005709936,0.15269394746859535,0.1278012942519985,0.15317510468214696,0.18593414541301867,0.2027186905215074
std,0.10334689628589215,0.059149351847483815,0.05014798464444302,0.082994722328848,0.09273568317221963,0.11525994514651319
min,0.064,0.013,0.017,0.031,0.055,0.013
25%,0.111,0.108,0.089,0.096,0.118,0.1195
50%,0.155,0.146,0.12,0.129,0.162,0.162
75%,0.243,0.187,0.156,0.188,0.235,0.26
max,0.595,0.425,0.381,0.606,1.467,0.74
