,count,mean,std,min,25%,50%,75%,max
Montrose Beach,7268.0,4.33062740781508,1.7533510873876257,1.0,3.0,4.0,5.0,10.0
Ohio Street Beach,9342.0,-424.72372083065727,6530.051415569573,-100000.0,3.0,3.0,4.0,10.0
Calumet Beach,7569.0,3.532434931959308,1.5238713298164905,2.0,3.0,3.0,4.0,10.0
63rd Street Beach,3192.0,-1374.298558897243,11661.841231779055,-100000.0,3.0,4.0,5.0,10.0
Osterman Beach,4022.0,4.003232222774739,1.7443523093502413,1.0,3.0,4.0,4.0,10.0
Rainbow Beach,3297.0,-13402.421898695784,34078.43929973356,-100000.0,3.0,4.0,5.0,10.0
