,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period
count,34779.0,28727.0,10025.0,32281.0,29273.0
mean,19.415443227234825,1.5451505552267901,1.570844788029925,0.1590832687958861,3.336077614183719
std,3.2275100073800815,1.175028607049442,0.17230900934580667,0.0623877783516465,0.829097863343797
min,9.8,0.01,1.01,0.013,2.0
25%,17.1,0.72,1.426,0.11,3.0
50%,19.6,1.2,1.578,0.15,3.0
75%,22.1,2.01,1.721,0.189,4.0
max,29.2,5.67,2.16,0.337,5.0
