,Montrose Beach,Ohio Street Beach,Calumet Beach,63rd Street Beach,Osterman Beach,Rainbow Beach
count,7054.0,9049.0,7263.0,3026.0,3916.0,2756.0
mean,0.19235058123050752,0.1567719084981766,0.1428796640506678,0.14466820885657636,0.17674131767109294,0.19069194484760524
std,0.09139307509041016,0.04496140797665945,0.05841202668798988,0.06727767274620992,0.07127679385481947,0.09251184740173887
min,0.064,0.03,0.017,0.031,0.055,0.013
25%,0.117,0.122,0.097,0.093,0.118,0.11775
50%,0.167,0.168,0.132,0.126,0.162,0.159
75%,0.249,0.187,0.178,0.184,0.224,0.252
max,0.47,0.284,0.316,0.342,0.395,0.463
