,Montrose Beach,Ohio Street Beach,Calumet Beach,63rd Street Beach,Osterman Beach,Rainbow Beach
count,6996.0,8662.0,6726.0,3069.0,3337.0,2756.0
mean,4.136363636363637,3.2226968367582542,3.107195955991674,4.073313782991202,3.3314354210368595,4.0921625544267055
std,1.475359157926032,0.697316826472956,0.9056379965403923,1.344808017737858,0.8097562368820844,1.3529011257154424
min,1.0,2.0,2.0,2.0,2.0,2.0
25%,3.0,3.0,2.0,3.0,3.0,3.0
50%,4.0,3.0,3.0,4.0,3.0,4.0
75%,5.0,4.0,4.0,5.0,4.0,5.0
max,8.0,5.0,5.0,8.0,5.0,8.0
