,Montrose Beach,Ohio Street Beach,Calumet Beach,63rd Street Beach,Osterman Beach,Rainbow Beach
count,2627.0,2627.0,2627.0,2627.0,2627.0,2627.0
mean,4.251237152645603,3.6109630757518083,3.507803578226113,4.183859916254282,3.9862961553102396,4.295774647887324
std,1.787255325661834,1.3146320877166384,1.4844446068486756,1.5776663452378354,1.7484087708118858,1.680856677204726
min,1.0,1.0,2.0,2.0,1.0,2.0
25%,3.0,3.0,2.0,3.0,3.0,3.0
50%,4.0,3.0,3.0,4.0,4.0,4.0
75%,5.0,4.0,4.0,5.0,4.0,5.0
max,10.0,10.0,10.0,10.0,10.0,10.0
